Date,Open,High,Low,Close,Adj Close,Volume
2005-07-01,36.754635,38.601997,35.378033,38.174038,19.598568,64532378
2005-08-01,38.166904,39.144081,35.877319,38.437946,19.734062,72293709
2005-09-01,38.437946,40.984306,37.189728,38.116978,19.722464,99227390
2005-10-01,38.445080,38.544937,33.252495,37.111271,19.202089,118794544
2005-11-01,36.861626,37.910130,35.492153,37.118401,19.205778,81018355
2005-12-01,37.296719,39.942940,37.089870,37.902996,19.764360,79607243
2006-01-01,38.252495,42.724678,37.760342,40.955776,21.356224,89537327
2006-02-01,40.584881,41.611984,38.815975,40.734665,21.240931,75449613
2006-03-01,40.620541,40.955776,37.653351,37.731812,19.815510,76360910
2006-04-01,37.731812,39.914410,36.469330,38.516403,20.227558,84497141
2006-05-01,38.409416,40.485020,38.095577,40.378033,21.205235,123610553
2006-06-01,40.378033,41.982883,39.778889,40.534950,21.442677,119469470
2006-07-01,40.656204,42.760342,40.470757,41.298145,21.846399,103703557
2006-08-01,41.298145,43.630527,40.998573,43.495007,23.008520,170921046
2006-09-01,43.594864,44.208275,41.041370,43.181171,23.000635,114105977
2006-10-01,43.223965,45.378033,42.617687,44.208275,23.547733,97988163
2006-11-01,44.350925,44.529243,41.248219,43.316689,23.072821,144517175
2006-12-01,43.523537,44.807419,43.380882,44.144081,23.671215,65978962
2007-01-01,44.144081,44.928673,41.897289,42.788872,22.944519,70533359
2007-02-01,43.402283,51.576321,42.746078,47.025677,25.216406,88757676
2007-03-01,46.718971,49.900143,45.363766,49.008560,26.462444,105076255
2007-04-01,49.115547,55.285309,48.980030,53.787449,29.042814,89127382
2007-05-01,54.044224,56.619118,51.654778,55.634808,30.040304,111179442
2007-06-01,55.670471,56.191154,49.736092,51.783169,28.122705,122139997
2007-07-01,52.781738,58.915836,48.395149,50.035664,27.173666,149790803
2007-08-01,50.285309,55.178318,46.169758,50.406563,27.375084,154706632
2007-09-01,51.783169,56.619118,51.112698,53.751781,29.369207,99895305
2007-10-01,54.108418,59.201141,52.610558,59.044224,32.260937,99969609
2007-11-01,58.823109,60.570614,55.320969,57.824535,31.594517,111636492
2007-12-01,57.446507,61.932953,57.446507,58.231098,31.994507,100600651
2008-01-01,58.309559,62.232525,49.928673,54.279602,29.823406,167376088
2008-02-01,54.465050,57.467903,53.059914,53.388016,29.333532,92331093
2008-03-01,54.079887,58.815975,53.423679,57.967190,32.050797,112685049
2008-04-01,58.523537,62.796005,57.774609,60.970043,33.711128,98856000
